tp,fp,fn,precision,recall,f1,pn_num
2,8,2,0.2,0.5,0.28571428571428575,16
0,7,4,0.0,0.0,0.0,41
0,8,4,0.0,0.0,0.0,46
1,8,3,0.1111111111111111,0.25,0.15384615384615383,82
1,9,3,0.1,0.25,0.14285714285714288,100
0,9,4,0.0,0.0,0.0,161
1,8,3,0.1111111111111111,0.25,0.15384615384615383,188
2,6,2,0.25,0.5,0.3333333333333333,211
1,6,3,0.14285714285714285,0.25,0.18181818181818182,224
1,5,3,0.16666666666666666,0.25,0.2,225
0,7,4,0.0,0.0,0.0,234
1,6,3,0.14285714285714285,0.25,0.18181818181818182,331
1,7,3,0.125,0.25,0.16666666666666666,344
0,6,4,0.0,0.0,0.0,352
1,8,3,0.1111111111111111,0.25,0.15384615384615383,372
0,12,4,0.0,0.0,0.0,390
1,8,3,0.1111111111111111,0.25,0.15384615384615383,426
0,10,4,0.0,0.0,0.0,464
1,6,3,0.14285714285714285,0.25,0.18181818181818182,489
1,6,3,0.14285714285714285,0.25,0.18181818181818182,495
0,4,4,0.0,0.0,0.0,510
1,7,3,0.125,0.25,0.16666666666666666,575
0,8,4,0.0,0.0,0.0,583
2,6,2,0.25,0.5,0.3333333333333333,585
0,7,4,0.0,0.0,0.0,625
1,6,3,0.14285714285714285,0.25,0.18181818181818182,653
0,8,4,0.0,0.0,0.0,669
0,10,4,0.0,0.0,0.0,673
1,6,3,0.14285714285714285,0.25,0.18181818181818182,699
1,6,3,0.14285714285714285,0.25,0.18181818181818182,701
1,7,3,0.125,0.25,0.16666666666666666,719
0,14,4,0.0,0.0,0.0,768
1,7,3,0.125,0.25,0.16666666666666666,769
1,7,3,0.125,0.25,0.16666666666666666,777
1,7,3,0.125,0.25,0.16666666666666666,796
0,7,4,0.0,0.0,0.0,804
0,10,4,0.0,0.0,0.0,810
1,7,3,0.125,0.25,0.16666666666666666,816
0,5,4,0.0,0.0,0.0,817
1,8,3,0.1111111111111111,0.25,0.15384615384615383,821
0,16,4,0.0,0.0,0.0,831
0,18,4,0.0,0.0,0.0,861
2,6,2,0.25,0.5,0.3333333333333333,883
0,6,4,0.0,0.0,0.0,970
0,7,4,0.0,0.0,0.0,977
1,7,3,0.125,0.25,0.16666666666666666,987
0,7,4,0.0,0.0,0.0,1010
0,7,4,0.0,0.0,0.0,1110
1,5,3,0.16666666666666666,0.25,0.2,1115
1,15,3,0.0625,0.25,0.1,1133
1,6,3,0.14285714285714285,0.25,0.18181818181818182,1146
0,7,4,0.0,0.0,0.0,1149
0,7,4,0.0,0.0,0.0,1151
0,9,4,0.0,0.0,0.0,1165
2,5,2,0.2857142857142857,0.5,0.36363636363636365,1173
1,5,3,0.16666666666666666,0.25,0.2,1186
1,6,3,0.14285714285714285,0.25,0.18181818181818182,1200
0,9,4,0.0,0.0,0.0,1209
0,9,4,0.0,0.0,0.0,1235
0,6,4,0.0,0.0,0.0,1250
2,5,2,0.2857142857142857,0.5,0.36363636363636365,1264
1,7,3,0.125,0.25,0.16666666666666666,1270
0,9,4,0.0,0.0,0.0,1281
1,10,3,0.09090909090909091,0.25,0.13333333333333333,1318
1,7,3,0.125,0.25,0.16666666666666666,1376
0,6,4,0.0,0.0,0.0,1512
0,8,4,0.0,0.0,0.0,1547
0,8,4,0.0,0.0,0.0,1581
0,9,4,0.0,0.0,0.0,1587
2,6,2,0.25,0.5,0.3333333333333333,1613
0,10,4,0.0,0.0,0.0,1622
0,11,4,0.0,0.0,0.0,1652
0,7,4,0.0,0.0,0.0,1692
0,8,4,0.0,0.0,0.0,1694
1,5,3,0.16666666666666666,0.25,0.2,1699
0,5,4,0.0,0.0,0.0,1723
1,7,3,0.125,0.25,0.16666666666666666,1742
1,6,3,0.14285714285714285,0.25,0.18181818181818182,1809
0,5,4,0.0,0.0,0.0,1835
0,6,4,0.0,0.0,0.0,1847
2,8,2,0.2,0.5,0.28571428571428575,1855
1,7,3,0.125,0.25,0.16666666666666666,1881
0,8,4,0.0,0.0,0.0,1939
1,6,3,0.14285714285714285,0.25,0.18181818181818182,1948
0,7,4,0.0,0.0,0.0,2078
1,6,3,0.14285714285714285,0.25,0.18181818181818182,2151
2,6,2,0.25,0.5,0.3333333333333333,2163
0,6,4,0.0,0.0,0.0,2184
1,7,3,0.125,0.25,0.16666666666666666,2198
2,6,2,0.25,0.5,0.3333333333333333,2201
1,6,3,0.14285714285714285,0.25,0.18181818181818182,2223
1,10,3,0.09090909090909091,0.25,0.13333333333333333,2271
2,5,2,0.2857142857142857,0.5,0.36363636363636365,2285
1,6,3,0.14285714285714285,0.25,0.18181818181818182,2290
1,6,3,0.14285714285714285,0.25,0.18181818181818182,2308
1,8,3,0.1111111111111111,0.25,0.15384615384615383,2315
0,12,4,0.0,0.0,0.0,2425
0,5,4,0.0,0.0,0.0,2428
1,7,3,0.125,0.25,0.16666666666666666,2430
1,6,3,0.14285714285714285,0.25,0.18181818181818182,2436
0,7,3,0.0,0.0,0.0,10004
0,7,3,0.0,0.0,0.0,10010
0,14,3,0.0,0.0,0.0,10013
0,7,3,0.0,0.0,0.0,10019
0,6,3,0.0,0.0,0.0,10028
0,10,3,0.0,0.0,0.0,10030
0,9,3,0.0,0.0,0.0,10044
0,6,3,0.0,0.0,0.0,10047
0,7,3,0.0,0.0,0.0,10067
0,15,3,0.0,0.0,0.0,10075
0,7,3,0.0,0.0,0.0,10101
0,7,3,0.0,0.0,0.0,10123
0,7,3,0.0,0.0,0.0,10124
0,7,3,0.0,0.0,0.0,10131
0,6,3,0.0,0.0,0.0,10132
0,6,3,0.0,0.0,0.0,10137
0,9,3,0.0,0.0,0.0,10174
0,7,3,0.0,0.0,0.0,10180
1,11,2,0.08333333333333333,0.3333333333333333,0.13333333333333333,10181
0,6,3,0.0,0.0,0.0,10182
0,6,3,0.0,0.0,0.0,10183
0,7,3,0.0,0.0,0.0,10192
0,6,3,0.0,0.0,0.0,10196
0,7,3,0.0,0.0,0.0,10201
0,10,3,0.0,0.0,0.0,10206
0,10,3,0.0,0.0,0.0,10216
0,6,3,0.0,0.0,0.0,10223
0,7,3,0.0,0.0,0.0,10227
0,6,3,0.0,0.0,0.0,10228
0,6,3,0.0,0.0,0.0,10233
0,13,3,0.0,0.0,0.0,10267
0,7,3,0.0,0.0,0.0,10268
0,7,3,0.0,0.0,0.0,10269
0,7,3,0.0,0.0,0.0,10316
1,7,2,0.125,0.3333333333333333,0.18181818181818182,10321
0,7,3,0.0,0.0,0.0,10329
0,7,3,0.0,0.0,0.0,10341
0,7,3,0.0,0.0,0.0,10345
1,6,2,0.14285714285714285,0.3333333333333333,0.2,10354
0,8,3,0.0,0.0,0.0,10358
0,7,3,0.0,0.0,0.0,10360
0,6,3,0.0,0.0,0.0,10368
0,7,3,0.0,0.0,0.0,10369
0,12,3,0.0,0.0,0.0,10384
0,7,3,0.0,0.0,0.0,10414
0,6,3,0.0,0.0,0.0,10420
0,6,3,0.0,0.0,0.0,10426
0,7,3,0.0,0.0,0.0,10454
0,8,3,0.0,0.0,0.0,10459
1,8,2,0.1111111111111111,0.3333333333333333,0.16666666666666666,10460
0,8,3,0.0,0.0,0.0,10476
1,13,2,0.07142857142857142,0.3333333333333333,0.11764705882352941,10487
0,6,3,0.0,0.0,0.0,10502
0,7,3,0.0,0.0,0.0,10530
1,13,2,0.07142857142857142,0.3333333333333333,0.11764705882352941,10534
0,7,3,0.0,0.0,0.0,10536
0,6,3,0.0,0.0,0.0,10537
0,8,3,0.0,0.0,0.0,10538
0,6,3,0.0,0.0,0.0,10542
0,7,3,0.0,0.0,0.0,10555
0,6,3,0.0,0.0,0.0,10589
1,6,2,0.14285714285714285,0.3333333333333333,0.2,10592
1,11,2,0.08333333333333333,0.3333333333333333,0.13333333333333333,10593
0,6,3,0.0,0.0,0.0,10608
0,7,3,0.0,0.0,0.0,10620
0,12,3,0.0,0.0,0.0,10622
0,9,3,0.0,0.0,0.0,10639
0,6,3,0.0,0.0,0.0,10645
0,10,3,0.0,0.0,0.0,10646
0,7,3,0.0,0.0,0.0,10659
0,10,3,0.0,0.0,0.0,10665
0,7,3,0.0,0.0,0.0,10693
0,9,3,0.0,0.0,0.0,10738
0,7,3,0.0,0.0,0.0,10747
0,10,3,0.0,0.0,0.0,10750
0,7,3,0.0,0.0,0.0,10772
0,6,3,0.0,0.0,0.0,10780
0,6,3,0.0,0.0,0.0,10785
0,7,3,0.0,0.0,0.0,10814
0,6,3,0.0,0.0,0.0,10819
0,8,3,0.0,0.0,0.0,10820
0,7,3,0.0,0.0,0.0,10822
0,9,3,0.0,0.0,0.0,10846
0,7,3,0.0,0.0,0.0,10847
0,8,3,0.0,0.0,0.0,10850
0,8,3,0.0,0.0,0.0,10851
0,7,3,0.0,0.0,0.0,10852
0,6,3,0.0,0.0,0.0,10854
0,7,3,0.0,0.0,0.0,10860
0,7,3,0.0,0.0,0.0,10869
1,6,2,0.14285714285714285,0.3333333333333333,0.2,10873
0,7,3,0.0,0.0,0.0,10888
0,8,3,0.0,0.0,0.0,10911
0,6,3,0.0,0.0,0.0,10926
0,6,3,0.0,0.0,0.0,10944
0,6,3,0.0,0.0,0.0,10952
0,7,3,0.0,0.0,0.0,10968
1,8,2,0.1111111111111111,0.3333333333333333,0.16666666666666666,10970
0,6,3,0.0,0.0,0.0,10972
1,7,2,0.125,0.3333333333333333,0.18181818181818182,10988
2,8,5,0.2,0.2857142857142857,0.23529411764705882,20001
2,6,5,0.25,0.2857142857142857,0.26666666666666666,20040
0,10,7,0.0,0.0,0.0,20118
0,13,7,0.0,0.0,0.0,20158
3,6,4,0.3333333333333333,0.42857142857142855,0.375,20167
2,13,5,0.13333333333333333,0.2857142857142857,0.18181818181818182,20169
1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,20203
0,8,7,0.0,0.0,0.0,20225
2,5,5,0.2857142857142857,0.2857142857142857,0.2857142857142857,20259
2,7,5,0.2222222222222222,0.2857142857142857,0.25,20260
2,7,5,0.2222222222222222,0.2857142857142857,0.25,20299
1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,20303
0,8,7,0.0,0.0,0.0,20304
1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,20360
2,7,5,0.2222222222222222,0.2857142857142857,0.25,20377
2,6,5,0.25,0.2857142857142857,0.26666666666666666,20383
1,8,6,0.1111111111111111,0.14285714285714285,0.125,20388
1,8,6,0.1111111111111111,0.14285714285714285,0.125,20410
2,5,5,0.2857142857142857,0.2857142857142857,0.2857142857142857,20445
1,7,6,0.125,0.14285714285714285,0.13333333333333333,20458
1,9,6,0.1,0.14285714285714285,0.11764705882352941,20492
1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,20507
2,7,5,0.2222222222222222,0.2857142857142857,0.25,20540
1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,20572
2,8,5,0.2,0.2857142857142857,0.23529411764705882,20588
1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,20619
1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,20631
1,7,6,0.125,0.14285714285714285,0.13333333333333333,20643
1,7,6,0.125,0.14285714285714285,0.13333333333333333,20666
1,7,6,0.125,0.14285714285714285,0.13333333333333333,20683
1,12,6,0.07692307692307693,0.14285714285714285,0.1,20747
0,8,7,0.0,0.0,0.0,20755
0,12,7,0.0,0.0,0.0,20772
1,7,6,0.125,0.14285714285714285,0.13333333333333333,20791
1,11,6,0.08333333333333333,0.14285714285714285,0.10526315789473685,20877
0,7,7,0.0,0.0,0.0,20895
1,8,6,0.1111111111111111,0.14285714285714285,0.125,20926
1,16,6,0.058823529411764705,0.14285714285714285,0.08333333333333333,21030
1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,21051
0,11,7,0.0,0.0,0.0,21054
1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,21055
1,12,6,0.07692307692307693,0.14285714285714285,0.1,21113
2,5,5,0.2857142857142857,0.2857142857142857,0.2857142857142857,21114
0,10,7,0.0,0.0,0.0,21133
1,8,6,0.1111111111111111,0.14285714285714285,0.125,21137
1,8,6,0.1111111111111111,0.14285714285714285,0.125,21141
2,6,5,0.25,0.2857142857142857,0.26666666666666666,21151
2,11,5,0.15384615384615385,0.2857142857142857,0.2,21184
1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,21188
2,7,5,0.2222222222222222,0.2857142857142857,0.25,21214
1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,21219
1,9,6,0.1,0.14285714285714285,0.11764705882352941,21268
1,7,6,0.125,0.14285714285714285,0.13333333333333333,21269
0,6,7,0.0,0.0,0.0,21282
1,11,6,0.08333333333333333,0.14285714285714285,0.10526315789473685,21285
2,7,5,0.2222222222222222,0.2857142857142857,0.25,21288
2,7,5,0.2222222222222222,0.2857142857142857,0.25,21310
1,5,6,0.16666666666666666,0.14285714285714285,0.15384615384615383,21317
2,8,5,0.2,0.2857142857142857,0.23529411764705882,21324
1,15,6,0.0625,0.14285714285714285,0.08695652173913043,21325
0,15,7,0.0,0.0,0.0,21372
1,9,6,0.1,0.14285714285714285,0.11764705882352941,21391
2,6,5,0.25,0.2857142857142857,0.26666666666666666,21427
1,8,6,0.1111111111111111,0.14285714285714285,0.125,21496
2,7,5,0.2222222222222222,0.2857142857142857,0.25,21532
1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,21538
2,11,5,0.15384615384615385,0.2857142857142857,0.2,21540
0,7,7,0.0,0.0,0.0,21576
2,8,5,0.2,0.2857142857142857,0.23529411764705882,21591
0,8,7,0.0,0.0,0.0,21614
1,7,6,0.125,0.14285714285714285,0.13333333333333333,21621
1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,21627
2,7,5,0.2222222222222222,0.2857142857142857,0.25,21630
1,8,6,0.1111111111111111,0.14285714285714285,0.125,21681
1,7,6,0.125,0.14285714285714285,0.13333333333333333,21686
1,12,6,0.07692307692307693,0.14285714285714285,0.1,21706
0,7,7,0.0,0.0,0.0,21724
1,7,6,0.125,0.14285714285714285,0.13333333333333333,21730
2,6,5,0.25,0.2857142857142857,0.26666666666666666,21773
2,9,5,0.18181818181818182,0.2857142857142857,0.2222222222222222,21807
2,8,5,0.2,0.2857142857142857,0.23529411764705882,21808
2,5,5,0.2857142857142857,0.2857142857142857,0.2857142857142857,21814
1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,21844
2,8,5,0.2,0.2857142857142857,0.23529411764705882,21853
2,6,5,0.25,0.2857142857142857,0.26666666666666666,21880
1,10,6,0.09090909090909091,0.14285714285714285,0.1111111111111111,21905
2,5,5,0.2857142857142857,0.2857142857142857,0.2857142857142857,21909
2,8,5,0.2,0.2857142857142857,0.23529411764705882,21966
0,7,7,0.0,0.0,0.0,21979
1,11,6,0.08333333333333333,0.14285714285714285,0.10526315789473685,21993
2,8,5,0.2,0.2857142857142857,0.23529411764705882,21997
2,7,5,0.2222222222222222,0.2857142857142857,0.25,22015
0,7,7,0.0,0.0,0.0,22023
2,10,5,0.16666666666666666,0.2857142857142857,0.2105263157894737,22053
1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,22081
2,10,5,0.16666666666666666,0.2857142857142857,0.2105263157894737,22083
1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,22091
2,7,5,0.2222222222222222,0.2857142857142857,0.25,22099
